日期,O2O金融项目,家电,日化,母婴,酒饮,食品
1,0.0,2392708.031433382,56951.64043775786,5933532.727362198,19552306.396551374,4471687.851878141
2,0.0,2797066.0068408335,7241101.5709768,18230308.511519272,-8509814.629592458,-15138323.364284629
3,5627502.881510159,1925771.0952294474,4467318.175040662,25594483.082202274,536595.1230824922,-2070315.8053533006
4,7838946.0858010175,9011819.95449369,19789994.816010397,28252703.43881077,36739569.781292535,-26363653.685677618
