行业,经营利润,利润率(%),增长率(%),波动性(%),综合得分,建议投入比重(%),投入建议
日化,31555366.2024656,0.39,2380.997484887618,243.16370365458093,0.7845217392477074,23.9,重点投入
母婴,78011027.75989452,1.49,23.072727254799684,88.14192948748536,0.7654411505819864,23.3,重点投入
酒饮,48318656.67133394,1.44,1069.9213008225797,297.7648192595424,0.6913483606664536,21.1,适度投入
家电,16127365.087997355,1.42,258.2977371954035,203.0272894040436,0.5353754941069113,16.3,适度投入
O2O金融项目,13466448.967311177,-437876.34,39.297060363253124,208.1008551162912,0.2526424064941959,7.7,维持现状
食品,-39100605.003437184,-0.28,-132.1508822314342,361.0375567993042,0.24999898944415613,7.6,维持现状
