行业,销售收入,销售成本,综合毛利,经营利润,订单数,利润率(%)
母婴,5241478124.4117,5119739595.2144,468330252.4475478,78011027.75989452,9445,1.49
酒饮,3351355993.4208,2810628144.0511,626083998.8003665,48318656.67133394,8042,1.44
日化,8117899579.9606,7773482433.2694,894104563.760524,31555366.2024656,16505,0.39
家电,1137946619.9,1021005329.8837,158929993.08630785,16127365.087997355,1470,1.42
O2O金融项目,-3075.4,-3075.4,14395993.306699663,13466448.967311177,932,-437876.34
食品,13916700133.709,12925048509.6984,1437395724.822614,-39100605.003437184,37196,-0.28
